código,CNPJ
AAGR,
AAZQ11,44625826000111
AGRX11,43951911000107
AMAZ,
BBGO11,42592257000120
CPTR11,42537579000176
CRAA11,48903610000121
DCRA11,42888360000111
EGAF11,41224330000148
FLEM,
FZDB,
FZDA11,44625694000128
IAGR11,44286898000181
JGPX11,42888292000190
FGAA11,42405905000191
GCRA11,37037297000170
GRWA11,47240671000193
HGAG11,40343867000164
IAAG,
KNCA11,41745701000137
LSAG11,42592476000109
MAVC,
NCRA11,42537438000153
OIAG11,41218352000103
PLCA11,41272747000186
RURA11,42479593000160
RZAG11,40413979000144
RZEO11,45718511000181
SNAG11,28152777000190
VGIA11,41081088000109
VCRA11,42502827000143
XPCA11,41269527000101
