Código,Token
BDIF11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiI5OTgyNSJ9
BIDB11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMDQ0OTEifQ==
BODB11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMDM5MDEifQ==
CDII11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMjEyNDcifQ==
CPTI11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiI5NTIyNyJ9
IFRA11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiI4NDAwNiJ9
JURO11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMDYxNDEifQ==
KDIF11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiI1MjYwMiJ9
OGIN11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMTc1NjIifQ==
RBIF11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMDYwODMifQ==
SNID11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiIxMjEwNTcifQ==
XPID11,eyJwYWdlTnVtYmVyIjoxLCJwYWdlU2l6ZSI6MjAsImNvZGUiOiI5NjIxMiJ9
